,ID,Title,Summary,Accession,Date,Relevance,RelevanceConfidence,Justification
26,200236719,Synthetic essentiality of thymine DNA glycosylase in p53-deficient cancer [ChIP-seq],"Thymine DNA Glycosylase (TDG) is a versatile protein involved in DNA mismatch repair, DNA demethylation, and transcriptional regulation. Here, we identify TDG as a synthetic essential effector in p53-deficient tumours. We found that deletion of TDG inhibits cell proliferation specifically in p53-deficient cancer cells. Using a genetically engineered mouse model of lung adenocarcinoma (LUAD), we demonstrate that depletion of TDG suppresses tumour growth in the p53-deficient context. Notably, A novel and selective inhibitor developed to disrupt the DNA binding activity of TDG exhibits therapeutic efficacy against p53-deficient tumours in both cellular and xenograft models. Mechanistically, TDG coordinates with p53 to orchestrate the transcription of RNA helicase DHX9, which functions to eliminate dsRNA. Depletion of TDG in p53-deficient cells results in the downregulation of DHX9 and aberrant cytoplasmic double-strand (dsRNA) accumulation derived from Alu elements, subsequently activating the RIG-I/MDA5-MAVS mediated antiviral response. Moreover, single-cell RNA-sequencing analysis revealed the depletion of TDG in p53-deficient tumours facilitates the recruitment of tumour-infiltrating lymphocytes. We observed that TDG inhibition combined with immune checkpoint blockade (ICB) achieved a strong synergistic anti-tumour effect in p53-deficient tumours. This study highlights the function of TDG in maintaining p53-deficient tumour growth and provides an alternative therapeutic target for p53-deficient cancers.",GSE236719,2024/06/21,Relevant,3/3,"This dataset explores the synthetic essentiality of TDG in p53-deficient lung adenocarcinoma, revealing significant insights into tumor growth and potential immunotherapy targets. Its findings on immune checkpoint blockade offer valuable implications for lung cancer treatments.; The role of TDG in p53-deficient tumors and its influence on tumor growth and immune response has direct implications for immunotherapy strategies in lung cancer.; This dataset highlights the role of TDG in p53-deficient lung adenocarcinoma and its implications for tumor growth and immune response. The study discusses the potential for immune checkpoint blockade therapy, which is directly relevant to the overview of immunotherapies for lung cancer. Hence, it is significant for the specified query."
27,200233097,STAT3 inhibition permits epigenetic reprogramming and TLR9/IRF8-driven differentiation of inv(16) acute myeloid leukemia [RRBS],"Cultured acute myeloid leukemia (AML) blasts can differentiate into antigen-presenting cells but achieving leukemic cell immunogenicity proved challenging in clinical setting. Despite expressing multiple immunostimulatory receptors, such as Toll-like Receptor 9 (TLR9), AML cells resist immunostimulation. We previously demonstrated that eliminating Signal Transducer and Activator of Transcription 1 and 3 (STAT1/3) signaling in AML cells using decoy DNA strategy (CpG-STAT3dODN) synergized with TLR9 stimulation and resulted in T cell-mediated leukemia regression. Here, we interrogated the molecular underpinnings of CpG-STAT3dODN-driven differentiation and immunogenicity of mouse Cbfb/MYH11/Mpl AML. The transcriptional profiling of AML cells isolated from mice after inducible Stat3 silencing plus TLR9 stimulation or CpG-STAT3dODN treatment, revealed comparable upregulation of genes related to myeloid cell differentiation (Irf8, Cebpa) and immune stimulation (Gadd45a, Ciita, Il12a, Ifng) but decreased expression of leukemia-promoting Runx1 and Run1t1. The conditional Irf8 silencing in AML cells almost completely abrogated TLR9-driven leukemia cell differentiation. The AML cell reprogramming by CpG-STAT3dODN was likely regulated epigenetically as revealed by reduced global promoter hypomethylation of crucial myeloid cell differentiation and immune activation genes. These changes were associated with reduced expression of known STAT3 targets, DNMT1 and DNMT3a/b. Finally, we provide initial evidence of anti-leukemic effects of CpG-STAT3 inhibitor against human AML model in humanized mice. Our studies suggest that, beyond oncogenic functions, STAT3 in AML cells may be a primary checkpoint in control of immune-stimulatory and differentiation driving effects. These findings support further development of CpG-STAT3 inhibitors as a new bi-functional agents for AML immunotherapy.",GSE233097,2024/07/23,Relevant,2/3,"The study investigates the role of STAT3 in acute myeloid leukemia and its implications for immune stimulation. The findings could inform immune therapeutic strategies that might cross-apply to lung cancer.; This study explores the modulation of AML cells' immunogenicity, which may provide insights applicable to lung cancer immunotherapy, especially with respect to TLR signaling.; While this dataset investigates immune mechanisms in acute myeloid leukemia (AML), it does not focus on lung cancer specifically. Despite some overlap in immunotherapy context, the lack of direct relevance to lung cancer makes it not suitable for the query regarding lung cancer immunotherapies."
28,200237615,53BP1 loss elicits cGAS-STING-dependent antitumor immunity in ovarian and pancreatic cancer,"53BP1 nucleates the anti-end resection machinery at DNA double-strand breaks (DSBs), thereby countering BRCA1 activity. Loss of 53BP1 leads to DNA end processing and homologous recombination (HR) in BRCA1-deficient cells. Consequently, BRCA1-mutant tumors, typically sensitive to PARP inhibitors (PARPi), become resistant in the absence of 53BP1. Here, we demonstrate that the 'leaky' DNA end resection in the absence of 53BP1 results in increased micronuclei and cytoplasmic dsDNA, leading to activation of the cGAS-STING pathway and pro-inflammatory signaling. This enhances CD8+ T cell infiltration, activates macrophages and natural killer (NK) cells, and impedes tumor growth. Loss of 53BP1 correlates with a response to immune checkpoint blockade (ICB) and improved overall survival. Immunohistochemical assessment of 53BP1 in two malignancies, high grade serous ovarian cancer (HGSOC)s and pancreatic ductal adenocarcinoma (PDAC)s, which are refractory to ICBs, revealed that lower 53BP1 levels correlated with an increased adaptive and innate immune response. Finally, BRCA1-deficient tumors that develop resistance to PARPi due to the loss of 53BP1 are susceptible to ICB. Therefore, we conclude that 53BP1 is critical for tumor immunogenicity and underpins the response to ICB. Our results support including 53BP1 expression as an exploratory biomarker in ICB trials for malignancies typically refractory to immunotherapy.",GSE237615,2024/07/09,Relevant,2/3,"This dataset discusses the role of 53BP1 in tumor immunogenicity and its implications for immune checkpoint blockade in cancers, including lung cancer. Understanding its role could enhance immunotherapy approaches.; The study discusses the role of 53BP1 in tumor immunogenicity and its correlation with immune checkpoint blockade, which is directly relevant to immunotherapy in lung cancer.; This dataset examines 53BP1 loss in ovarian and pancreatic cancers, not lung cancer. Although it discusses immune responses, it does not provide insights or applications for lung cancer immunotherapy. Therefore, it is not relevant to the query."
29,200270333,Methionine Restriction Reduces Lung Cancer Progression and Increases Chemotherapy Response,Methionine restriction sensitizes A549 cells with and without LKB1 to chemotherapy,GSE270333,2024/07/19,Relevant,3/3,"This dataset examines methionine restriction's effects on lung cancer progression and chemotherapy response, which is pertinent to therapeutic strategies, potentially including immunotherapies in lung cancer.; This dataset discusses methionine restriction's effects on lung cancer progression and chemotherapy, providing a potential link to enhancing immunotherapy efficacy.; This dataset investigates the effects of methionine restriction on lung cancer progression and chemotherapy response, which is directly relevant to lung cancer treatments. Understanding these metabolic pathways could inform the development of combination therapies with immunotherapy approaches."
30,200244965,Longitudinal Immune Profiling and Corticosteroid Modulation of the Immediate Innate Immune Response to ChAdOx1 nCoV-19,"ChAdOx1 nCoV-19, a chimpanzee adenovirus (ChAd)-vector vaccine expressing the SARS-CoV-2 spike protein, has elicited robust immunological responses in large populations. Despite its proven efficacy and safety, some recipients have reported immediate inflammatory reactions post-vaccination. We comprehensively examined the immune landscape following ChAdOx1 nCoV-19 vaccination based on the epigenomic profiles of monocytes. Glucocorticoids are wildly used as steroid anti-inflammatory drugs to modify acute and chronic inflammation. Recently, dexamethasone is used to modify inflammation in COVID19 and side-effects after COVID19 vaccination. ChAdox1 nCoV-19 induces interferon responses and inflammation in human. In addition to IFNa, TNF and IL1b treatment to mimic inflammatory environment gives general effects of glucocorticoids in complex inflammatory context.",GSE244965,2024/07/18,Not Relevant,3/3,"The dataset focuses on immune profiling in response to a COVID-19 vaccine, which, while related to immunity, does not pertain directly to lung cancer immunotherapy.; This dataset is focused on immune profiling related to a COVID-19 vaccine, which is not relevant to lung cancer immunotherapy.; This dataset is focused on immune profiling related to SARS-CoV-2 vaccination and does not pertain to lung cancer immunotherapy specifically. While it deals with immune responses, its context is not relevant to lung cancer treatment strategies."
31,200270541,Mechanisms of response and tolerance to active RAS inhibition in KRAS-mutant NSCLC,"Resistance to inactive state-selective RASG12C inhibitors frequently entails accumulation of RASGTP, rendering effective inhibition of active RAS potentially desirable. Here, we evaluated the anti-tumor activity of the RAS(ON) multi-selective tri-complex inhibitor RMC-7977 and dissected mechanisms of response and tolerance in KRASG12C-mutant NSCLC. Broad-spectrum, reversible RASGTP inhibition with or without concurrent covalent targeting of active RASG12C yielded superior and differentiated antitumor activity across diverse co-mutational KRASG12C-mutant NSCLC mouse models of primary or acquired RASG12C(ON) or (OFF) inhibitor resistance. Interrogation of time-resolved single cell transcriptional responses established an in vivo atlas of multi-modal acute and chronic RAS pathway inhibition in the NSCLC ecosystem and uncovered a regenerative mucinous transcriptional program that supports long-term tumor cell persistence. In patients with advanced KRASG12C-mutant NSCLC, the presence of mucinous histological features portended poor response to sotorasib or adagrasib. Our results have potential implications for personalized medicine and the development of rational RAS inhibitor-anchored therapeutic strategies.",GSE270541,2024/06/27,Relevant,3/3,"This study on RAS inhibition in KRAS-mutant non-small cell lung cancer (NSCLC) directly relates to lung cancer treatment strategies, providing insights into mechanisms that could be applicable to immunotherapy.; This study on KRAS-mutant NSCLC explores resistance mechanisms and therapeutic strategies, potentially informing immunotherapy approaches in this cancer type.; The dataset discusses RAS inhibition in KRAS-mutant NSCLC, which is a significant subtype of lung cancer. Understanding the mechanisms of response and tolerance to inhibitors can be crucial for developing effective immunotherapy combinations in this cancer type."
32,200245243,CRISPR activation screens identify the SWI-SNF ATPases as suppressors of ferroptosis [NGS3790_scATAC],"Ferroptosis is an iron-dependent cell death mechanism characterized by an accumulation of toxic lipid peroxides and membrane rupture. The glutathione dependent enzyme, GPX4 (glutathione peroxidase 4), prevents ferroptosis by reducing these lipid peroxides into non-toxic lipid alcohols. Ferroptosis induction by GPX4 inhibition has emerged as a vulnerability of cancer cells, thus highlighting the need to identify ferroptosis regulators that may be exploited therapeutically. Through genome-wide screens and a series of genetic, genomic, and quantitative imaging approaches, we identify the SWI-SNF ATPases BRM and BRG1 as ferroptosis suppressors. Mechanistically, they directly bind to and catalytically increase chromatin accessibility at NRF2 target loci, thus boosting NRF2 transcriptional output. This primes cells to counter lipid peroxidation and confers resistance to GPX4 inhibition and ferroptosis. Importantly, we demonstrate that the BRM/BRG1-ferroptosis connection can be leveraged to enhance the paralog dependency of BRG1-mutant lung cancer cells on BRM, especially in lines that are less sensitive to BRM inhibition or degradation. Our data reveal ferroptosis induction as a potential avenue for broadening the efficacy of BRM degraders/inhibitors and define a specific genetic context for exploiting GPX4 dependency.",GSE245243,2024/07/01,Relevant,3/3,"Similar to a previous entry, this dataset highlights ferroptosis suppression mechanisms in lung cancer cells, informing potential therapeutic approaches that can be combined with immunotherapy.; This dataset is linked to understanding ferroptosis suppression in lung cancer, which has implications for developing therapeutic strategies that may include immunotherapy.; Similar to the previous dataset, this one explores the role of SWI-SNF ATPases in cancer cell ferroptosis, directly relevant to lung cancer research. Its findings indicate potential therapeutic strategies that could be integrated with immunotherapy, making it significant to the query."
33,200245244,CRISPR activation screens identify the SWI-SNF ATPases as suppressors of ferroptosis [NGS3855_barcodes_gDNA],"Ferroptosis is an iron-dependent cell death mechanism characterized by an accumulation of toxic lipid peroxides and membrane rupture. The glutathione dependent enzyme, GPX4 (glutathione peroxidase 4), prevents ferroptosis by reducing these lipid peroxides into non-toxic lipid alcohols. Ferroptosis induction by GPX4 inhibition has emerged as a vulnerability of cancer cells, thus highlighting the need to identify ferroptosis regulators that may be exploited therapeutically. Through genome-wide screens and a series of genetic, genomic, and quantitative imaging approaches, we identify the SWI-SNF ATPases BRM and BRG1 as ferroptosis suppressors. Mechanistically, they directly bind to and catalytically increase chromatin accessibility at NRF2 target loci, thus boosting NRF2 transcriptional output. This primes cells to counter lipid peroxidation and confers resistance to GPX4 inhibition and ferroptosis. Importantly, we demonstrate that the BRM/BRG1-ferroptosis connection can be leveraged to enhance the paralog dependency of BRG1-mutant lung cancer cells on BRM, especially in lines that are less sensitive to BRM inhibition or degradation. Our data reveal ferroptosis induction as a potential avenue for broadening the efficacy of BRM degraders/inhibitors and define a specific genetic context for exploiting GPX4 dependency.",GSE245244,2024/07/01,Relevant,3/3,"This dataset also covers the role of ferroptosis suppressors in lung cancer, reinforcing the importance of these pathways in developing combination therapies with immunotherapy.; Similar to the previous entry, it discusses ferroptosis in the context of lung cancer, indicating possible therapeutic strategies related to immunotherapy.; This dataset, like the previous one, reinforces the understanding of ferroptosis in lung cancer cells. The exploration of genetic contexts for exploiting GPX4 dependency can inform immunotherapeutic strategies, thus adding relevance to lung cancer treatment."
34,200218225,CRISPR screen of radiation resistant genes in NSCLC,"Radiotherapy is an important treatment for non-small cell lung cancer (NSCLC). It not only kills tumor cells directly, but also promotes the efficacy of immunotherapy. However, resistance to radiotherapy is still an unavoidable clinical challenge. In this study, we used radiation-sensitive H460 cell line to stably express Cas9 and CRISPR GeCKO v2 library (A and B). Then a single 4GY irradiation was given, and after the cells resumed proliferation, the total genome was extracted and second-generation sequencing was performed. Genes directly associated with resistance to radiotherapy were identified in comparison to controls without any treatment.",GSE218225,2024/07/12,Relevant,3/3,"This dataset examines radiation resistance in NSCLC, crucial for understanding how radiotherapy can be combined with immunotherapy strategies to enhance treatment outcomes.; This dataset on radiation resistance in NSCLC explores mechanisms that can potentially influence the efficacy of immunotherapy in combination with radiotherapy.; This dataset investigates radiation resistance in NSCLC, which is critical for enhancing the efficacy of radiotherapy combined with immunotherapy. Understanding mechanisms of resistance is essential for improving treatment outcomes in lung cancer patients."
35,200234919,Single-cell transcriptomics of Marjolin ulcers,"Marjolin's ulcer is a a rare and aggressive cutaneous malignancy that can arise on previously injured skin, established scars, and chronic non-healing wounds. It is most often found in burn scars, but it can also occur in other types of wounds, including venous stasis ulcers, pressure sores, and vaccination sites. The most common histological type of Marjolin’s ulcers is squamous cell carcinoma, however basal cell carcinomas, malignant melanomas, and sarcomas have also been reported. All parts of the body could potentially be affected yet the lower extremities are the anatomic sites most commonly involved. While SCCs commonly have a metastasis rate of 0.5 to 3.0 percent, those arising from burn scars metastasize at a rate in excess of 30 percent. The 5-year survival after a diagnosis of Marjolin’s ulcer was found to be 50 percent. The transformation to a malignancy can occur either chronically, over a period of more than 35 years, or occasionally within a year of the original injury. The exact mechanism of this transformation is not fully understood, but it is thought to be related to chronic keratinocyte dysfunction during the healing process of severe burn wounds. Surgical excision is the main treatment for Marjolin's ulcer and provides the best chance of survival. In a previous study, we investigated the bulk transcriptional changes that lead to Marjolin's ulcer by comparing global gene expression changes between squamous cells present in a squamous cell carcinoma versus those present within Marjolin's ulcer (MU) (Sinha et. al. JBCR 2017). This imparted novel insights into mechanisms underlying divergent clinical features of these cutaneous cancers. The goal of our current study is to characterize a new case of Marjolin's ulcer in a patient under our care by analyzing the cell types, their frequencies, and their individual transcriptional responses within a burn scar versus within Marjolin's ulcer. To achieve this, we conducted single-cell RNA sequencing on two excised tissues: 1. a sample from the center of the tumor (tumor core), and 2. another sample from the margin of tumor-free scar tissue.",GSE234919,2024/07/21,Not Relevant,3/3,"The study focuses on Marjolin's ulcers, which is not directly related to lung cancer or its immunotherapy. The mechanisms discussed do not translate to the lung cancer context.; This study focuses on Marjolin ulcers, a cutaneous malignancy, which does not provide insights relevant to lung cancer immunotherapy.; This dataset focuses on Marjolin's ulcer, a cutaneous malignancy, and does not address lung cancer or its associated immunotherapies. The content is not applicable to the query concerning lung cancer."
36,200272045,Identification of mutant KRAS-related genes associated with malignant phenotypes in NSCLC,"Oncogenic KRAS is found in more than 25% of lung adenocarcinomas, the major histologic subtype of non–small cell lung cancer (NSCLC), and is an important target for drug development. To this end, we generated four NSCLC lines with stable knockdown selective for oncogenic KRAS. As expected, stable knockdown of oncogenic KRAS led to inhibition of in vitro and in vivo tumor growth in the KRAS-mutant NSCLC cells, but not in NSCLC cells that have wild-type KRAS (but mutant NRAS). Surprisingly, we did not see large-scale induction of cell death and the growth inhibitory effect was not complete. To further understand the ability of NSCLCs to grow despite selective removal of mutant KRAS expression, we conducted microarray expression profiling of NSCLC cell lines with or without mutant KRAS knockdown and isogenic human bronchial epithelial cell lines with and without oncogenic KRAS. We found that although the mitogen-activated protein kinase pathway is significantly downregulated after mutant KRAS knockdown, these NSCLCs showed increased levels of phospho-STAT3 and phospho–epidermal growth factor receptor, and variable changes in phospho-Akt. In addition, mutant KRAS knockdown sensitized the NSCLCs to p38 and EGFR inhibitors. Our findings suggest that targeting oncogenic KRAS by itself will not be sufficient treatment, but may offer possibilities of combining anti-KRAS strategies with other targeted drugs. Detailed information on the microarray results are available in a previous study (Sunaga N, et al. Mol Cancer Ther. 2011;10:336-46).",GSE272045,2024/07/16,Relevant,3/3,"The identification of KRAS-related genes is directly pertinent to lung cancer, as KRAS mutations are common in lung cancer and targeting these could provide insights into immunotherapy strategies.; Investigating KRAS-related genes in NSCLC can provide insights into targeted therapies, including immunotherapy approaches relevant to lung cancer.; This dataset examines KRAS mutation in NSCLC, which is highly relevant for targeted therapies and developing immunotherapeutic strategies for lung cancer. Understanding mutant KRAS-associated genes can clarify the tumor's response to immunotherapies."
37,200234378,Mediator Kinase Inhibition Impedes Transcriptional Plasticity and Prevents Resistance to Sustained MAPK-Targeted Therapy in KRAS-Mutant Cancers,"Acquired resistance remains a major challenge for therapies targeting oncogene activated pathways. KRAS, for example, is the most frequently mutated oncogene in human cancers, yet strategies targeting its downstream signaling kinases have failed to produce durable treatment responses. Here, we developed multiple models of acquired resistance to second-generation MAPK inhibitors across KRAS-mutant pancreatic, colorectal, and lung cancers, then probed the long-term events enabling survival against this class of drugs. These studies revealed that resistance emerges secondary to large-scale transcriptional adaptations that are diverse and tumor-specific. Transcriptional reprogramming extends beyond the well-established early response, and instead represents a dynamic, evolved process that is refined to attain a stably resistant phenotype. Mechanistic and translational studies reveal that resistance to sustained MAPK inhibition is broadly susceptible to manipulation of the epigenetic machinery, and that Mediator kinase, in particular, can be co-targeted at a bottleneck point to prevent diverse, tumor-specific resistance programs.",GSE234378,2024/06/26,Relevant,3/3,"This study on transcriptional adaptations in KRAS-mutant cancers addresses challenges in targeting KRAS, relevant for understanding potential immunotherapy resistance mechanisms.; This study on resistance mechanisms in KRAS-mutant cancers could inform strategies to improve the effectiveness of lung cancer immunotherapy.; This dataset tackles the challenge of acquired resistance in KRAS-mutant cancers, including lung cancer. Insights gained here can be transformative for developing immunotherapy approaches that prevent or overcome resistance, thus being pertinent to the query."
38,200256236,Comparison of the expression profile between PDLIM2-knockdown and control LLC cells.,"Lung cancer is one of the most commonly diagnosed and deadliest forms of cancer. PDLIM2 has been shown to regulate the stability and activity of different transcription factors, including STATs and NF-kB, and it plays a role in various biological processes such as inflammation and cancer. To understand the role of PDLIM2 in lung cancers, we employed microarray analysis to identify differentially expressed genes, delineating both up-regulated and down-regulated ones in PDLIM2-knockdown LLC cells.",GSE256236,2024/06/26,Relevant,3/3,"The dataset investigates the role of PDLIM2 in lung cancer, with implications for understanding transcription factor regulation relevant to immune response and potential therapeutic targets.; The study on PDLIM2 in lung cancer explores transcription factors relevant for understanding cancer biology and potential therapeutic targets, including immunotherapy.; This dataset investigates PDLIM2's role in lung cancer, focusing on its impact on gene expression related to inflammation and cancer progression. Understanding such regulatory mechanisms will aid in exploring new avenues for immunotherapy in lung cancer."
39,200247055,A pair of NUCLEAR FACTOR Y transcription factors act as positive regulators in jasmonate signaling and disease resistance in Arabidopsis,This SuperSeries is composed of the SubSeries listed below.,GSE247055,2024/07/15,Not Relevant,3/3,"Again, this study is primarily about plant biology and does not relate to lung cancer or immunotherapy, making it irrelevant to the query.; This dataset focuses on a plant species and does not provide any relevance to lung cancer or immunotherapy.; Similar to the other dataset on jasmonate signaling in Arabidopsis, this dataset does not relate to human lung cancer or immunotherapy, making it irrelevant to the query regarding lung cancer research."
40,200251708,MDA-MB-468 cells treated with docetaxel or EZH2i+AKTi II,"Triple negative breast cancer (TNBC) is the most aggressive breast cancer subtype and has the highest rate of recurrence1. The predominant standard of care for advanced TNBC is systemic chemotherapy with or without immunotherapy, however responses are typically short-lived1,2. Thus, there is an urgent need to develop more effective treatments. PI3K pathway components represent plausible therapeutic targets, as approximately 70% of TNBCs have PIK3CA/AKT1/PTEN alterations3–6. However, unlike hormone receptor-positive tumors, it is still unclear if or how PI3K pathway inhibitors will be effective in triple-negative disease7. Here we identify a promising AKT inhibitor-based therapeutic combination for TNBC. Specifically, we show that AKT inhibitors potently synergize with agents that suppress the histone methyltransferase, EZH2, and promote robust tumor regression in multiple TNBC models in vivo. AKT and EZH2 inhibitors exert these effects by first cooperatively driving basal-like TNBC cells into a more differentiated, luminal-like state, which cannot be effectively induced by either agent alone. Once differentiated, these agents kill TNBCs by hijacking signals that normally drive mammary gland involution. Finally, using machine learning approach, we developed a classifier that can be used for patient selection. Together these findings identify a promising therapeutic strategy for this highly aggressive tumor type and illustrate how deregulated epigenetic enzymes can insulate tumors from oncogenic vulnerabilities. These studies also reveal how developmental tissue-specific cell death pathways may be co-opted for therapeutic benefit.",GSE251708,2024/07/08,Not Relevant,3/3,"This dataset focuses on triple negative breast cancer and the efficacy of certain inhibitors in that context, with no mention of lung cancer or immunotherapy. The mechanisms discussed do not pertain to lung cancer treatment or therapies. Thus, it is not relevant to the query.; This dataset focuses on triple negative breast cancer and the efficacy of specific chemotherapy agents, which does not directly address immunotherapy for lung cancer. While it mentions systemic chemotherapy and immunotherapy, the primary subject is not lung cancer nor immunotherapy strategies relevant to it.; This dataset focuses on triple-negative breast cancer and the effectiveness of various inhibitors in that context. It does not address lung cancer or immunotherapy approaches relevant to lung cancer specifically."
41,200242839,PD-1 is induced on tumor-associated macrophages in obesity to directly restrain anti-tumor immunity,"Obesity is a leading risk factor for progression and metastasis of many cancers1,2, yet can also promote improved survival for some cancers3-5 and enhance responses to some immune checkpoint blockade therapies6-8. The role of the immune system in the obesity-cancer connection and how obesity influences immunotherapy, however, remain unclear. While PD-1 expression by macrophages has been described9-12, we found that obesity selectively induced PD-1 on macrophages and that PD-1 directly impaired macrophage function. Single cell RNA sequencing of murine colorectal carcinoma tumors showed obesity remodeled myeloid and T cell populations, with fewer clonally expanded effector T cells and increased abundance of PD-1+ tumor-associated macrophages (TAM). Cytokines and molecules associated with obesity, including IL-6, leptin, and insulin, and the unsaturated fatty acid palmitate, induced PD-1 expression on macrophages in a glycolysis-dependent manner and that MTORC1 pathway signaling is essential for PD1 expression. PD-1+ TAMs had increased mitochondrial respiration, fatty acid metabolism and cell cylewhile PD-1- TAMs had increased inflammatory signature , phagocytosis and antigen presentation to T cells. These patterns were directly regulated by PD-1, as recombinant PD-L1 reduced macrophage glycolysis, phagocytic capacity and antigen presentation, and this was reversed with blocking PD-1 antibody. Further, inhibition of glycolysis with 2-deoxyglucose prevented the increase in CD86, MHC-I and MHC-II that would otherwise occur with anti-PD-1 treatment. Conversely, PD-1-deficient Pdcd1-/- TAMs had high rates of glycolysis, phagocytosis, and expression of MHC-II. Myeloid-specific PD-1 deficiency correlated with slower tumor growth, enhanced TAM antigen presentation capability, and increased CD8 T cell activation together with reduced markers of exhaustion. These findings show metabolic signaling and type 1 inflammatory cues in obesity induces PD-1-mediated suppression of TAM function and reveal a unique macrophage-specific and glycolysis-dependent mechanism to modulate immune tumor surveillance and checkpoint blockade. This may contribute to increased cancer risk yet improved response to PD-1 blockade in TAM-enriched tumors and obesity.",GSE242839,2024/07/19,Relevant,2/3,"While this dataset discusses PD-1 in relation to tumor-associated macrophages, it is primarily focused on obesity's effects on cancer immunity, not specifically on lung cancer or immunotherapies for it. It lacks direct relevance to lung cancer therapies.; This dataset discusses the role of PD-1 on tumor-associated macrophages in the context of obesity and its implications for anti-tumor immunity, which is crucial in understanding immunotherapy responses. The findings have the potential to influence immunotherapy strategies for various cancers, including lung cancer.; This dataset explores the effects of obesity on tumor-associated macrophages and their role in immune response, which is relevant for understanding immunotherapy efficacy in lung cancer patients, particularly those who may be obese."
42,200180769,Human lung cancer cell line A549 +/- CD43 knockdown,"The human lung cancer cell line A549 with high CD43 expression was stably trasfected with a vector expressing a non-functional shRNA or 3 of these same vectors each expressing a different shRNA targeting human CD43 mRNA. The transcriptomes of these two daughter lines were then compared by differential microarray analysis. The generation and functional characteristics of these two daughter cell lines are described by Fu et al., in the International Journal of Cancer, volume 132, pages 1761-1770, published in 2013.",GSE180769,2024/07/01,Relevant,3/3,"This dataset involves a human lung cancer cell line (A549) and the exploration of CD43 knockdown, which may have implications for understanding lung cancer therapies and immunotherapies. It directly relates to lung cancer research.; This dataset involves the A549 lung cancer cell line, analyzing the effects of CD43 knockdown which may relate to immune checkpoint interactions. The focus on lung cancer makes this dataset relevant to exploring immunotherapies specific to lung cancer.; The dataset involves the A549 lung cancer cell line, exploring the effects of CD43 knockdown, which may have implications for lung cancer immunotherapy strategies."
43,200247054,A pair of NUCLEAR FACTOR Y transcription factors act as positive regulators in jasmonate signaling and disease resistance in Arabidopsis,"The plant hormone jasmonate (JA) regulates plant growth and immunity by orchestrating a genome-wide transcriptional reprogramming. In the resting stage, JASMONATE-ZIM DOMAIN (JAZ) proteins act as main repressors to regulate the expression of JA-responsive genes in the JA signaling pathway. However, the mechanisms underlying de-repression of JA-responsive genes in response to JA treatment remain elusive. Here, we report two nuclear factor Y transcription factors NF- YB2 and NF-YB3 (thereafter YB2 and YB3) play key roles in such de-repression in Arabidopsis. YB2 and YB3 function redundantly and positively regulate plant resistance against necrotrophic pathogen Botrytis cinerea ， which are specially required for transcriptional activation of a set of JA-responsive genes following inoculation. Furthermore, YB2 and YB3 modulated their expression through direct occupancy and interaction with histone demethylase Ref6 to remove repressive histone modifications. Moreover, YB2 and YB3 physically interacted with JAZ repressorsand negatively modulated their abundance, which in turn attenuated the inhibition of JAZ proteins on the transcription of JA- responsive genes, thereby activating JA response and promoting disease resistance. Overall, our study reveals the positive regulator of YB2 and YB3 in JA signaling by positively regulating transcription of JA-responsive genes and negatively modulating the abundance of JAZ proteins.",GSE247054,2024/07/15,Not Relevant,3/3,"This dataset is focused on plant biology and jasmonate signaling, which has no connection to lung cancer or immunotherapy. It does not address the query regarding immunotherapies for lung cancer.; This dataset pertains to plant biology and jasmonate signaling, which is unrelated to human cancer immunotherapy or lung cancer specifically. It does not contribute to the understanding of immunotherapies for lung cancer.; This dataset pertains to plant biology and jasmonate signaling in Arabidopsis, which is unrelated to lung cancer or immunotherapy."
44,200244683,Digital transformation of herbal medicine: Conversion to biological entity data using tonifying herbal medicine-induced transcriptome sequencing_A549_batchB,"This study aimed to identify transcript expression induced by tonifying herbal medicines (THM) and modes of action (MOA) of THM in A549 cell line. For the production of THM-induced transcripts, tonifying herbal medicines water extract (THW) and tonifying herbal medicines ethanol extract (THE) were used.",GSE244683,2024/06/21,Relevant,3/3,"This dataset involves the A549 lung cancer cell line and explores the effects of herbal medicine, which could provide insights into alternative therapeutic approaches for lung cancer. It is relevant to the query on lung cancer.; This study investigates the effects of herbal medicine on the A549 lung cancer cell line, contributing insights into potential adjunctive therapies that could impact immunotherapy outcomes in lung cancer patients.; This study investigates transcript expression related to herbal medicine using the A549 lung cancer cell line, which could provide insights into alternative therapeutic approaches in lung cancer immunotherapy."
